Land;Kategorie;Kriterium;Regionaler Status;Kommentar;Interpretierter Status;URL
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/137619937/137619976
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133379945/133379947
;Critically Endangered;;;;;http://plantnet.rbgsyd.nsw.gov.au
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133380372/133380374
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133380382/133380384
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/30533/133031902
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133376721/133376723
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133376018/133376020
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133374103/133374105
;Critically Endangered;;;;;http://www.environment.gov.au/cgi-bin/sprat/public/sprat.pl
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/34924/133031964
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133374308/133374310
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/137627000/137627217
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/133378950/133378952
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/173968/1407024
;Critically Endangered;;;;;https://www.iucnredlist.org/species/173634/169276485
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/173403/1383532
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/173987/1408230
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/173692/156963006
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/35024/156963271
;Critically Endangered;;;;;https://www.iucnredlist.org/species/35024/169494894
;Critically Endangered;;;;;https://www.iucnredlist.org/species/145395156/145919385
;Critically Endangered;;;;;https://www.iucnredlist.org/species/38196/68497394
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/36144/148392849
;Critically Endangered;;;;;http:/www.iucnredlist.org/species/62022593/62022595
;Critically Endangered;;;;;https://www.iucnredlist.org/species/145395376/145910398
;Rare;;;;;http://www.legumes-online.net/ildis/aweb/database.htm
;Rare;;;;;http://www.flora.sa.gov.au/
;Rare;;;;;http://www.threatenedspecieslink.tas.gov.au/ 
;Special interest;;;;;http://www.nationalredlist.org/species-information/?speciesID=232838
